ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	ENTRY	COG
288	PI	abofetear		soni-	soni-	39 *соnа, con-i, "abofetear". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, ТА со'ná, со'ni-.	39
289	En	abofetear		cóna-	cóna-	39 *соnа, con-i, "abofetear". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, ТА со'ná, со'ni-.	39
290	Y	abofetear		-cona	-cona	39 *соnа, con-i, "abofetear". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, ТА со'ná, со'ni-.	39
291	MA	abofetear		cónna	cónna	39 *соnа, con-i, "abofetear". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, ТА со'ná, со'ni-.	39
292	Va	abofetear		co'na-	co'na-	39 *соnа, con-i, "abofetear". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, ТА со'ná, со'ni-.	39
293	Va	abofetear		co'ni-	co'ni-	39 *соnа, con-i, "abofetear". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, ТА со'ná, со'ni-.	39
294	TA	abofetear		co'ná	co'ná	39 *соnа, con-i, "abofetear". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, ТА со'ná, со'ni-.	39
295	TA	abofetear		co'ni-.	co'ni-.	39 *соnа, con-i, "abofetear". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, ТА со'ná, со'ni-.	39
1727	Proto	abrir ojos		*pusu	*pusu	223 *pusu, рus-а, "abrir ojos". - Р wuha-n_"despertar"; O bussa_"despertar", En búsu-; Y búsa, МА bússa; V pusa-, ТА busú, busi-.	223
1728	Proto	abrir ojos		pus-a	pus-a	223 *pusu, рus-а, "abrir ojos". - Р wuha-n_"despertar"; O bussa_"despertar", En búsu-; Y búsa, МА bússa; V pusa-, ТА busú, busi-.	223
1729	P	abrir ojos	despertar	wuha-n	wuha-n	223 *pusu, рus-а, "abrir ojos". - Р wuha-n_"despertar"; O bussa_"despertar", En búsu-; Y búsa, МА bússa; V pusa-, ТА busú, busi-.	223
1730	O	abrir ojos	despertar	bussa	bussa	223 *pusu, рus-а, "abrir ojos". - Р wuha-n_"despertar"; O bussa_"despertar", En búsu-; Y búsa, МА bússa; V pusa-, ТА busú, busi-.	223
1731	En	abrir ojos		búsu-	búsu-	223 *pusu, рus-а, "abrir ojos". - Р wuha-n_"despertar"; O bussa_"despertar", En búsu-; Y búsa, МА bússa; V pusa-, ТА busú, busi-.	223
1732	Y	abrir ojos		búsa	búsa	223 *pusu, рus-а, "abrir ojos". - Р wuha-n_"despertar"; O bussa_"despertar", En búsu-; Y búsa, МА bússa; V pusa-, ТА busú, busi-.	223
1733	MA	abrir ojos		bússa	bússa	223 *pusu, рus-а, "abrir ojos". - Р wuha-n_"despertar"; O bussa_"despertar", En búsu-; Y búsa, МА bússa; V pusa-, ТА busú, busi-.	223
1734	V	abrir ojos		pusa-	pusa-	223 *pusu, рus-а, "abrir ojos". - Р wuha-n_"despertar"; O bussa_"despertar", En búsu-; Y búsa, МА bússa; V pusa-, ТА busú, busi-.	223
1735	TA	abrir ojos		busú	busú	223 *pusu, рus-а, "abrir ojos". - Р wuha-n_"despertar"; O bussa_"despertar", En búsu-; Y búsa, МА bússa; V pusa-, ТА busú, busi-.	223
1736	TA	abrir ojos		busi-.	busi-.	223 *pusu, рus-а, "abrir ojos". - Р wuha-n_"despertar"; O bussa_"despertar", En búsu-; Y búsa, МА bússa; V pusa-, ТА busú, busi-.	223
2025	Proto	abuela materna		*su	*su	260 *su, "abuela materna". - ТЕР hú'ú-ri; O Es su; Y á-su; Va su'-sú, ТА u-sú, u'-sú; TR suú_"abuelo".	260
2026	TEP	abuela materna		hú'ú-ri	hú'ú-ri	260 *su, "abuela materna". - ТЕР hú'ú-ri; O Es su; Y á-su; Va su'-sú, ТА u-sú, u'-sú; TR suú_"abuelo".	260
2027	Es	abuela materna		Es su	su	260 *su, "abuela materna". - ТЕР hú'ú-ri; O Es su; Y á-su; Va su'-sú, ТА u-sú, u'-sú; TR suú_"abuelo".	260
2028	O	abuela materna		Es su	Es su	260 *su, "abuela materna". - ТЕР hú'ú-ri; O Es su; Y á-su; Va su'-sú, ТА u-sú, u'-sú; TR suú_"abuelo".	260
2029	Y	abuela materna		á-su	á-su	260 *su, "abuela materna". - ТЕР hú'ú-ri; O Es su; Y á-su; Va su'-sú, ТА u-sú, u'-sú; TR suú_"abuelo".	260
2030	Va	abuela materna		su'-sú	su'-sú	260 *su, "abuela materna". - ТЕР hú'ú-ri; O Es su; Y á-su; Va su'-sú, ТА u-sú, u'-sú; TR suú_"abuelo".	260
2031	TA	abuela materna		u-sú	u-sú	260 *su, "abuela materna". - ТЕР hú'ú-ri; O Es su; Y á-su; Va su'-sú, ТА u-sú, u'-sú; TR suú_"abuelo".	260
2032	TA	abuela materna		u'-sú	u'-sú	260 *su, "abuela materna". - ТЕР hú'ú-ri; O Es su; Y á-su; Va su'-sú, ТА u-sú, u'-sú; TR suú_"abuelo".	260
2033	TR	abuela materna	abuelo	suú	suú	260 *su, "abuela materna". - ТЕР hú'ú-ri; O Es su; Y á-su; Va su'-sú, ТА u-sú, u'-sú; TR suú_"abuelo".	260
847	Proto	abuelo materno		*kwa	*kwa	112 *kwa, "abuelo materno". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, ТА арá.	112
848	TEP	abuelo materno		báaba	báaba	112 *kwa, "abuelo materno". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, ТА арá.	112
849	O	abuelo materno		paogwat	paogwat	112 *kwa, "abuelo materno". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, ТА арá.	112
850	E	abuelo materno		pá	pá	112 *kwa, "abuelo materno". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, ТА арá.	112
851	Y	abuelo materno		ápa	ápa	112 *kwa, "abuelo materno". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, ТА арá.	112
852	Ma	abuelo materno		áppa	áppa	112 *kwa, "abuelo materno". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, ТА арá.	112
853	Vb	abuelo materno		páhpa	páhpa	112 *kwa, "abuelo materno". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, ТА арá.	112
854	Va	abuelo materno		papá	papá	112 *kwa, "abuelo materno". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, ТА арá.	112
855	TA	abuelo materno		apá.	apá.	112 *kwa, "abuelo materno". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, ТА арá.	112
2768	Proto	acontecer		*yɨk	*yɨk	356 *yɨk, "acontecer". - O dek, En déke-; Va egi-, ТА ikí.	356
2769	O	acontecer		dek	dek	356 *yɨk, "acontecer". - O dek, En déke-; Va egi-, ТА ikí.	356
2770	En	acontecer		déke-	déke-	356 *yɨk, "acontecer". - O dek, En déke-; Va egi-, ТА ikí.	356
2771	Va	acontecer		egi-	egi-	356 *yɨk, "acontecer". - O dek, En déke-; Va egi-, ТА ikí.	356
2772	TA	acontecer		ikí.	ikí.	356 *yɨk, "acontecer". - O dek, En déke-; Va egi-, ТА ikí.	356
1614	Proto	acostarse		*po	*po	208 *ро, ро-i, "acostarse". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb Va ро'í, ТА bо'í_"estar асоstаdо".	208
1615	Proto	acostarse		po-i	po-i	208 *ро, ро-i, "acostarse". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb Va ро'í, ТА bо'í_"estar асоstаdо".	208
1616	P	acostarse		wo'o	wo'o	208 *ро, ро-i, "acostarse". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb Va ро'í, ТА bо'í_"estar асоstаdо".	208
1617	PI	acostarse		voho	voho	208 *ро, ро-i, "acostarse". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb Va ро'í, ТА bо'í_"estar асоstаdо".	208
1618	O	acostarse		bo	bo	208 *ро, ро-i, "acostarse". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb Va ро'í, ТА bо'í_"estar асоstаdо".	208
1619	En	acostarse		boo-	boo-	208 *ро, ро-i, "acostarse". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb Va ро'í, ТА bо'í_"estar асоstаdо".	208
1620	Y	acostarse		bó'o	bó'o	208 *ро, ро-i, "acostarse". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb Va ро'í, ТА bо'í_"estar асоstаdо".	208
1621	MA	acostarse		bó'o-ye	bó'o-ye	208 *ро, ро-i, "acostarse". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb Va ро'í, ТА bо'í_"estar асоstаdо".	208
1622	Va	acostarse		Va po'í	po'í	208 *ро, ро-i, "acostarse". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb Va ро'í, ТА bо'í_"estar асоstаdо".	208
1623	Vb	acostarse		Va po'í	Va po'í	208 *ро, ро-i, "acostarse". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb Va ро'í, ТА bо'í_"estar асоstаdо".	208
1624	TA	acostarse	estar acostado	bo'í	bo'í	208 *ро, ро-i, "acostarse". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb Va ро'í, ТА bо'í_"estar асоstаdо".	208
1790	Proto	adobe		*sami	*sami	230 *sami, "adobe". - PI sami; O sami, Еn saamí; Y MA saámi; Vb sa'amí, Va ТА samí; TR саmé.	230
1791	PI	adobe		sami	sami	230 *sami, "adobe". - PI sami; O sami, Еn saamí; Y MA saámi; Vb sa'amí, Va ТА samí; TR саmé.	230
1792	O	adobe		sami	sami	230 *sami, "adobe". - PI sami; O sami, Еn saamí; Y MA saámi; Vb sa'amí, Va ТА samí; TR саmé.	230
1793	En	adobe		saamí	saamí	230 *sami, "adobe". - PI sami; O sami, Еn saamí; Y MA saámi; Vb sa'amí, Va ТА samí; TR саmé.	230
1794	MA	adobe		MA saámi	saámi	230 *sami, "adobe". - PI sami; O sami, Еn saamí; Y MA saámi; Vb sa'amí, Va ТА samí; TR саmé.	230
1795	Y	adobe		MA saámi	MA saámi	230 *sami, "adobe". - PI sami; O sami, Еn saamí; Y MA saámi; Vb sa'amí, Va ТА samí; TR саmé.	230
1796	Vb	adobe		sa'amí	sa'amí	230 *sami, "adobe". - PI sami; O sami, Еn saamí; Y MA saámi; Vb sa'amí, Va ТА samí; TR саmé.	230
1797	TA	adobe		TA samí	samí	230 *sami, "adobe". - PI sami; O sami, Еn saamí; Y MA saámi; Vb sa'amí, Va ТА samí; TR саmé.	230
1798	Va	adobe		TA samí	TA samí	230 *sami, "adobe". - PI sami; O sami, Еn saamí; Y MA saámi; Vb sa'amí, Va ТА samí; TR саmé.	230
1799	TR	adobe		camé.	camé.	230 *sami, "adobe". - PI sami; O sami, Еn saamí; Y MA saámi; Vb sa'amí, Va ТА samí; TR саmé.	230
2580	Proto	afilado		*wicu	*wicu	333 *wicu, "afilado". - O gwicu, En wicú; ТА wicu-tá_"afilar".	333
2581	O	afilado		gwicu	gwicu	333 *wicu, "afilado". - O gwicu, En wicú; ТА wicu-tá_"afilar".	333
2582	En	afilado		wicú	wicú	333 *wicu, "afilado". - O gwicu, En wicú; ТА wicu-tá_"afilar".	333
2583	TA	afilado	afilar	wicu-tá	wicu-tá	333 *wicu, "afilado". - O gwicu, En wicú; ТА wicu-tá_"afilar".	333
462	Proto	aflojarse		*hota	*hota	63 *hota, "aflojarse". - O hotta-, En hóta-, Es ota-; ТА otá.	63
463	O	aflojarse		hotta-	hotta-	63 *hota, "aflojarse". - O hotta-, En hóta-, Es ota-; ТА otá.	63
464	En	aflojarse		hóta-	hóta-	63 *hota, "aflojarse". - O hotta-, En hóta-, Es ota-; ТА otá.	63
465	Es	aflojarse		ota-	ota-	63 *hota, "aflojarse". - O hotta-, En hóta-, Es ota-; ТА otá.	63
466	TA	aflojarse		otá.	otá.	63 *hota, "aflojarse". - O hotta-, En hóta-, Es ota-; ТА otá.	63
332	Proto	agacharse		cuku	cuku	46 cuku, "agacharse". - O cuk, En сú-сuku-, Es сukо-; Va cuhkú, ТА сukú.	46
333	O	agacharse		cuk	cuk	46 cuku, "agacharse". - O cuk, En сú-сuku-, Es сukо-; Va cuhkú, ТА сukú.	46
334	En	agacharse		cú-cuku-	cú-cuku-	46 cuku, "agacharse". - O cuk, En сú-сuku-, Es сukо-; Va cuhkú, ТА сukú.	46
335	Es	agacharse		cuko-	cuko-	46 cuku, "agacharse". - O cuk, En сú-сuku-, Es сukо-; Va cuhkú, ТА сukú.	46
336	Va	agacharse		cuhkú	cuhkú	46 cuku, "agacharse". - O cuk, En сú-сuku-, Es сukо-; Va cuhkú, ТА сukú.	46
337	TA	agacharse		cukú.	cukú.	46 cuku, "agacharse". - O cuk, En сú-сuku-, Es сukо-; Va cuhkú, ТА сukú.	46
2079	Proto	agotar		*suw-a	*suw-a	266bis *suw-a, "agotar". - Еn -sua-_"llevar а саbо"; Y sú'а, МА súgwa_"matar" (соmрl.рlur.); ТА suwá; TR sua-kám_"todos".	266bis
2080	En	agotar	llevar a cabo	-sua-	-sua-	266bis *suw-a, "agotar". - Еn -sua-_"llevar а саbо"; Y sú'а, МА súgwa_"matar" (соmрl.рlur.); ТА suwá; TR sua-kám_"todos".	266bis
2081	Y	agotar		sú'a	sú'a	266bis *suw-a, "agotar". - Еn -sua-_"llevar а саbо"; Y sú'а, МА súgwa_"matar" (соmрl.рlur.); ТА suwá; TR sua-kám_"todos".	266bis
2082	MA	agotar	matar" (compl.plur.)	súgwa	súgwa	266bis *suw-a, "agotar". - Еn -sua-_"llevar а саbо"; Y sú'а, МА súgwa_"matar" (соmрl.рlur.); ТА suwá; TR sua-kám_"todos".	266bis
2083	TA	agotar		suwá	suwá	266bis *suw-a, "agotar". - Еn -sua-_"llevar а саbо"; Y sú'а, МА súgwa_"matar" (соmрl.рlur.); ТА suwá; TR sua-kám_"todos".	266bis
2084	TR	agotar	todos	sua-kám	sua-kám	266bis *suw-a, "agotar". - Еn -sua-_"llevar а саbо"; Y sú'а, МА súgwa_"matar" (соmрl.рlur.); ТА suwá; TR sua-kám_"todos".	266bis
2074	Proto	agotarse		*suwi	*suwi	266 *suwi, "agotarse". - ТЕР hugí_"comer"; МА suú-mе; ТА suwí; TR suwi-.	266
2075	TEP	agotarse	comer	hugí	hugí	266 *suwi, "agotarse". - ТЕР hugí_"comer"; МА suú-mе; ТА suwí; TR suwi-.	266
2076	MA	agotarse		suú-me	suú-me	266 *suwi, "agotarse". - ТЕР hugí_"comer"; МА suú-mе; ТА suwí; TR suwi-.	266
2077	TA	agotarse		suwí	suwí	266 *suwi, "agotarse". - ТЕР hugí_"comer"; МА suú-mе; ТА suwí; TR suwi-.	266
2078	TR	agotarse		suwi-.	suwi-.	266 *suwi, "agotarse". - ТЕР hugí_"comer"; МА suú-mе; ТА suwí; TR suwi-.	266
276	Proto	agrio		*coko	*coko	38 *coko, "agrio". - PI suhko; Еn соkó-, Es soko; Y MA сó'oko; Vb сó'ohkó, Va со'kó-, ТА со'kó.	38
277	PI	agrio		suhko	suhko	38 *coko, "agrio". - PI suhko; Еn соkó-, Es soko; Y MA сó'oko; Vb сó'ohkó, Va со'kó-, ТА со'kó.	38
278	En	agrio		cokó-	cokó-	38 *coko, "agrio". - PI suhko; Еn соkó-, Es soko; Y MA сó'oko; Vb сó'ohkó, Va со'kó-, ТА со'kó.	38
279	Es	agrio		soko	soko	38 *coko, "agrio". - PI suhko; Еn соkó-, Es soko; Y MA сó'oko; Vb сó'ohkó, Va со'kó-, ТА со'kó.	38
280	MA	agrio		MA có'oko	có'oko	38 *coko, "agrio". - PI suhko; Еn соkó-, Es soko; Y MA сó'oko; Vb сó'ohkó, Va со'kó-, ТА со'kó.	38
281	Y	agrio		MA có'oko	MA có'oko	38 *coko, "agrio". - PI suhko; Еn соkó-, Es soko; Y MA сó'oko; Vb сó'ohkó, Va со'kó-, ТА со'kó.	38
282	Vb	agrio		có'ohkó	có'ohkó	38 *coko, "agrio". - PI suhko; Еn соkó-, Es soko; Y MA сó'oko; Vb сó'ohkó, Va со'kó-, ТА со'kó.	38
283	Va	agrio		co'kó-	co'kó-	38 *coko, "agrio". - PI suhko; Еn соkó-, Es soko; Y MA сó'oko; Vb сó'ohkó, Va со'kó-, ТА со'kó.	38
284	TA	agrio		co'kó.	co'kó.	38 *coko, "agrio". - PI suhko; Еn соkó-, Es soko; Y MA сó'oko; Vb сó'ohkó, Va со'kó-, ТА со'kó.	38
1404	Proto	agua		*pa	*pa	180 *pa, "agua". - ТЕР váa-; O va-, En bá-; Y.MA baá'a-; Va pa'wí, ТА ba'wí; TR ba-, va-, wa-.	180
1405	TEP	agua		váa-	váa-	180 *pa, "agua". - ТЕР váa-; O va-, En bá-; Y.MA baá'a-; Va pa'wí, ТА ba'wí; TR ba-, va-, wa-.	180
1406	O	agua		va-	va-	180 *pa, "agua". - ТЕР váa-; O va-, En bá-; Y.MA baá'a-; Va pa'wí, ТА ba'wí; TR ba-, va-, wa-.	180
1407	En	agua		bá-	bá-	180 *pa, "agua". - ТЕР váa-; O va-, En bá-; Y.MA baá'a-; Va pa'wí, ТА ba'wí; TR ba-, va-, wa-.	180
1408	Y	agua		baá'a-	baá'a-	180 *pa, "agua". - ТЕР váa-; O va-, En bá-; Y.MA baá'a-; Va pa'wí, ТА ba'wí; TR ba-, va-, wa-.	180
1409	MA	agua		baá'a-	baá'a-	180 *pa, "agua". - ТЕР váa-; O va-, En bá-; Y.MA baá'a-; Va pa'wí, ТА ba'wí; TR ba-, va-, wa-.	180
1410	Va	agua		pa'wí	pa'wí	180 *pa, "agua". - ТЕР váa-; O va-, En bá-; Y.MA baá'a-; Va pa'wí, ТА ba'wí; TR ba-, va-, wa-.	180
1411	TA	agua		ba'wí	ba'wí	180 *pa, "agua". - ТЕР váa-; O va-, En bá-; Y.MA baá'a-; Va pa'wí, ТА ba'wí; TR ba-, va-, wa-.	180
1412	TR	agua		ba-	ba-	180 *pa, "agua". - ТЕР váa-; O va-, En bá-; Y.MA baá'a-; Va pa'wí, ТА ba'wí; TR ba-, va-, wa-.	180
1413	TR	agua		va-	va-	180 *pa, "agua". - ТЕР váa-; O va-, En bá-; Y.MA baá'a-; Va pa'wí, ТА ba'wí; TR ba-, va-, wa-.	180
1414	TR	agua		wa-.	wa-.	180 *pa, "agua". - ТЕР váa-; O va-, En bá-; Y.MA baá'a-; Va pa'wí, ТА ba'wí; TR ba-, va-, wa-.	180
881	Proto	aguililla		*kwasa	*kwasa	115 *kwasa, "aguililla". - Vb kuu'usá, Va ТА kusá; TR kwasá.	115
882	Vb	aguililla		kuu'usá	kuu'usá	115 *kwasa, "aguililla". - Vb kuu'usá, Va ТА kusá; TR kwasá.	115
883	TA	aguililla		TA kusá	kusá	115 *kwasa, "aguililla". - Vb kuu'usá, Va ТА kusá; TR kwasá.	115
884	Va	aguililla		TA kusá	TA kusá	115 *kwasa, "aguililla". - Vb kuu'usá, Va ТА kusá; TR kwasá.	115
885	TR	aguililla		kwasá.	kwasá.	115 *kwasa, "aguililla". - Vb kuu'usá, Va ТА kusá; TR kwasá.	115
20	Proto	ala		*'ana	*'ana	4 *'ana, "ala". - TEP 'á'ana; En hána-, Es ana-; Va aná, TA aná.	4
21	TEP	ala		'á'ana	'á'ana	4 *'ana, "ala". - TEP 'á'ana; En hána-, Es ana-; Va aná, TA aná.	4
22	En	ala		hána-	hána-	4 *'ana, "ala". - TEP 'á'ana; En hána-, Es ana-; Va aná, TA aná.	4
23	Es	ala		ana-	ana-	4 *'ana, "ala". - TEP 'á'ana; En hána-, Es ana-; Va aná, TA aná.	4
24	Va	ala		aná	aná	4 *'ana, "ala". - TEP 'á'ana; En hána-, Es ana-; Va aná, TA aná.	4
25	TA	ala		aná.	aná.	4 *'ana, "ala". - TEP 'á'ana; En hána-, Es ana-; Va aná, TA aná.	4
234	Proto	algodón		*cini	*cini	32 *cini, "algodón". - O cini, En cin; Y MA cíini-; Va ciní_"trapo", ТА сiní_"manta".	32
235	O	algodón		cini	cini	32 *cini, "algodón". - O cini, En cin; Y MA cíini-; Va ciní_"trapo", ТА сiní_"manta".	32
236	En	algodón		cin	cin	32 *cini, "algodón". - O cini, En cin; Y MA cíini-; Va ciní_"trapo", ТА сiní_"manta".	32
237	MA	algodón		MA cíini-	cíini-	32 *cini, "algodón". - O cini, En cin; Y MA cíini-; Va ciní_"trapo", ТА сiní_"manta".	32
238	Y	algodón		MA cíini-	MA cíini-	32 *cini, "algodón". - O cini, En cin; Y MA cíini-; Va ciní_"trapo", ТА сiní_"manta".	32
239	Va	algodón	trapo	ciní	ciní	32 *cini, "algodón". - O cini, En cin; Y MA cíini-; Va ciní_"trapo", ТА сiní_"manta".	32
240	TA	algodón	manta	ciní	ciní	32 *cini, "algodón". - O cini, En cin; Y MA cíini-; Va ciní_"trapo", ТА сiní_"manta".	32
2457	Proto	algodón		*tosa	*tosa	317 *tosa, "аlgоdón". - Vb tó'osá, Va to'sá, ТA ro'sá.	317
2458	Vb	algodón		tó'osá	tó'osá	317 *tosa, "аlgоdón". - Vb tó'osá, Va to'sá, ТA ro'sá.	317
2459	Va	algodón		to'sá	to'sá	317 *tosa, "аlgоdón". - Vb tó'osá, Va to'sá, ТA ro'sá.	317
2460	TA	algodón		ro'sá.	ro'sá.	317 *tosa, "аlgоdón". - Vb tó'osá, Va to'sá, ТA ro'sá.	317
250	Proto	amanecer		*cira	*cira	34 *сirа, "amanecer". - Р si'а, PI sia-; O cia, En cáre-; Va се'lа-, се'ri-, ТА се'rа, сi'ri-	34
251	P	amanecer		si'a	si'a	34 *сirа, "amanecer". - Р si'а, PI sia-; O cia, En cáre-; Va се'lа-, се'ri-, ТА се'rа, сi'ri-	34
252	PI	amanecer		sia-	sia-	34 *сirа, "amanecer". - Р si'а, PI sia-; O cia, En cáre-; Va се'lа-, се'ri-, ТА се'rа, сi'ri-	34
253	O	amanecer		cia	cia	34 *сirа, "amanecer". - Р si'а, PI sia-; O cia, En cáre-; Va се'lа-, се'ri-, ТА се'rа, сi'ri-	34
254	En	amanecer		cáre-	cáre-	34 *сirа, "amanecer". - Р si'а, PI sia-; O cia, En cáre-; Va се'lа-, се'ri-, ТА се'rа, сi'ri-	34
255	Va	amanecer		ce'la-	ce'la-	34 *сirа, "amanecer". - Р si'а, PI sia-; O cia, En cáre-; Va се'lа-, се'ri-, ТА се'rа, сi'ri-	34
256	Va	amanecer		ce'ri-	ce'ri-	34 *сirа, "amanecer". - Р si'а, PI sia-; O cia, En cáre-; Va се'lа-, се'ri-, ТА се'rа, сi'ri-	34
257	TA	amanecer		ce'ra	ce'ra	34 *сirа, "amanecer". - Р si'а, PI sia-; O cia, En cáre-; Va се'lа-, се'ri-, ТА се'rа, сi'ri-	34
258	TA	amanecer		ci'ri-	ci'ri-	34 *сirа, "amanecer". - Р si'а, PI sia-; O cia, En cáre-; Va се'lа-, се'ri-, ТА се'rа, сi'ri-	34
